24-12-03 22:20:44.936 {main} INFO  c.e.m.MyFirstEdProjectApplication - Starting MyFirstEdProjectApplication using Java 11.0.25 on LAPTOP-NB4DHPF0 with PID 28084 (C:\Users\NAVEEN KUMAR\Downloads\myFirstEdProject\myFirstEdProject\target\classes started by NAVEEN KUMAR in C:\Users\NAVEEN KUMAR\Downloads\myFirstEdProject\myFirstEdProject)
24-12-03 22:20:44.945 {main} INFO  c.e.m.MyFirstEdProjectApplication - The following 1 profile is active: "dev"
24-12-03 22:20:45.907 {main} INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
24-12-03 22:20:45.992 {main} INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 76 ms. Found 2 MongoDB repository interfaces.
24-12-03 22:20:46.756 {main} INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
24-12-03 22:20:46.767 {main} INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
24-12-03 22:20:46.767 {main} INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
24-12-03 22:20:46.768 {main} INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
24-12-03 22:20:46.898 {main} INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
24-12-03 22:20:46.898 {main} INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1860 ms
24-12-03 22:20:47.276 {main} INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[127.0.0.1:27017], srvHost=cluster0.5wocl.mongodb.net, mode=MULTIPLE, requiredClusterType=REPLICA_SET, serverSelectionTimeout='30000 ms', requiredReplicaSetName='atlas-jmb7ap-shard-0'}
24-12-03 22:20:47.339 {cluster-ClusterId{value='674f36e7ec30b6063504a4ce', description='null'}-srv-cluster0.5wocl.mongodb.net} INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.5wocl.mongodb.net:27017 to client view of cluster
24-12-03 22:20:47.385 {cluster-ClusterId{value='674f36e7ec30b6063504a4ce', description='null'}-srv-cluster0.5wocl.mongodb.net} INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.5wocl.mongodb.net:27017 to client view of cluster
24-12-03 22:20:47.386 {cluster-ClusterId{value='674f36e7ec30b6063504a4ce', description='null'}-srv-cluster0.5wocl.mongodb.net} INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.5wocl.mongodb.net:27017 to client view of cluster
24-12-03 22:20:47.625 {main} INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@6db328f8 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=cluster0-shard-00-01.5wocl.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=cluster0-shard-00-02.5wocl.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=cluster0-shard-00-00.5wocl.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
24-12-03 22:20:48.009 {cluster-ClusterId{value='674f36e7ec30b6063504a4ce', description='null'}-cluster0-shard-00-02.5wocl.mongodb.net:27017} INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:306379}] to cluster0-shard-00-02.5wocl.mongodb.net:27017
24-12-03 22:20:48.010 {cluster-ClusterId{value='674f36e7ec30b6063504a4ce', description='null'}-cluster0-shard-00-00.5wocl.mongodb.net:27017} INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:307738}] to cluster0-shard-00-00.5wocl.mongodb.net:27017
24-12-03 22:20:48.009 {cluster-rtt-ClusterId{value='674f36e7ec30b6063504a4ce', description='null'}-cluster0-shard-00-01.5wocl.mongodb.net:27017} INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:329866}] to cluster0-shard-00-01.5wocl.mongodb.net:27017
24-12-03 22:20:48.009 {cluster-rtt-ClusterId{value='674f36e7ec30b6063504a4ce', description='null'}-cluster0-shard-00-00.5wocl.mongodb.net:27017} INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:307738}] to cluster0-shard-00-00.5wocl.mongodb.net:27017
24-12-03 22:20:48.009 {cluster-ClusterId{value='674f36e7ec30b6063504a4ce', description='null'}-cluster0-shard-00-01.5wocl.mongodb.net:27017} INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:329866}] to cluster0-shard-00-01.5wocl.mongodb.net:27017
24-12-03 22:20:48.009 {cluster-rtt-ClusterId{value='674f36e7ec30b6063504a4ce', description='null'}-cluster0-shard-00-02.5wocl.mongodb.net:27017} INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:306379}] to cluster0-shard-00-02.5wocl.mongodb.net:27017
24-12-03 22:20:48.010 {cluster-ClusterId{value='674f36e7ec30b6063504a4ce', description='null'}-cluster0-shard-00-02.5wocl.mongodb.net:27017} INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.5wocl.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=346148000, setName='atlas-jmb7ap-shard-0', canonicalAddress=cluster0-shard-00-02.5wocl.mongodb.net:27017, hosts=[cluster0-shard-00-00.5wocl.mongodb.net:27017, cluster0-shard-00-02.5wocl.mongodb.net:27017, cluster0-shard-00-01.5wocl.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.5wocl.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=225, topologyVersion=TopologyVersion{processId=6741f36b79c25954cd65b056, counter=5}, lastWriteDate=Tue Dec 03 22:20:48 IST 2024, lastUpdateTimeNanos=5689912106700}
24-12-03 22:20:48.010 {cluster-ClusterId{value='674f36e7ec30b6063504a4ce', description='null'}-cluster0-shard-00-00.5wocl.mongodb.net:27017} INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.5wocl.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=334924200, setName='atlas-jmb7ap-shard-0', canonicalAddress=cluster0-shard-00-00.5wocl.mongodb.net:27017, hosts=[cluster0-shard-00-00.5wocl.mongodb.net:27017, cluster0-shard-00-02.5wocl.mongodb.net:27017, cluster0-shard-00-01.5wocl.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.5wocl.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=225, topologyVersion=TopologyVersion{processId=6741f22b39b43c80e0c7b9d8, counter=5}, lastWriteDate=Tue Dec 03 22:20:48 IST 2024, lastUpdateTimeNanos=5689912112400}
